时辰,航速,经度,纬度,航向
0,0.6,119.21428166666666,212.150145,339.1
0,8.9,114.33413999999999,30.620845,234.4
0,8.9,114.33413999999999,30.620845,234.4
0,7.8,114.34860333333333,30.628753333333336,49.8
